two_theta_deg,intensity_counts
7.7016686500000002,842
7.7043852599999996,839
7.7071018699999998,834
7.7098184799999991,774
7.7125350899999994,868
7.7152516999999996,820
7.7179683099999998,753
7.7206849200000001,813
7.7234015299999994,797
7.7261181399999996,790
7.728834749999999,824
7.7315513599999992,763
7.7342679699999994,789
7.7369845799999997,800
7.7397011899999999,847
7.7424178000000001,854
7.7451344099999995,797
7.7478510199999997,806
7.750567629999999,792
7.7532842399999993,857
7.7560008499999995,829
7.7587174599999997,854
7.76143407,792
7.7641506800000002,804
7.7668672899999995,880
7.7695838999999998,855
7.7723005099999991,815
7.7750171199999993,847
7.7777337299999996,805
7.7804503399999998,811
7.78316695,769
7.7858835599999994,812
7.7886001699999996,788
7.7913167799999989,842
7.7940333899999992,803
7.7967499999999994,792
7.7994666099999996,808
7.8021832199999999,815
7.8048998300000001,755
7.8076164399999994,836
7.8103330499999997,798
7.813049659999999,836
7.8157662699999992,836
7.8184828799999995,848
7.8211994899999997,778
7.8239160999999999,777
7.8266327100000002,806
7.8293493199999995,747
7.8320659299999997,816
7.8347825399999991,882
7.8374991499999993,833
7.8402157599999995,777
7.8429323699999998,813
7.84564898,824
7.8483655900000002,873
7.8510821999999996,817
7.8537988099999998,744
7.8565154199999991,816
7.8592320299999994,807
7.8619486399999996,799
7.8646652499999998,761
7.8673818600000001,830
7.8700984699999994,797
7.8728150799999996,828
7.875531689999999,801
7.8782482999999992,788
7.8809649099999994,809
7.8836815199999997,757
7.8863981299999999,845
7.8891147400000001,778
7.8918313499999995,783
7.8945479599999997,836
7.897264569999999,756
7.8999811799999993,780
7.9026977899999995,811
7.9054143999999997,844
7.90813101,822
7.9108476200000002,786
7.9135642299999995,878
7.9162808399999998,764
7.9189974499999991,816
7.9217140599999993,776
7.9244306699999996,808
7.9271472799999998,819
7.92986389,836
7.9325804999999994,829
7.9352971099999996,832
7.9380137199999989,813
7.9407303299999992,812
7.9434469399999994,817
7.9461635499999996,755
7.9488801599999999,836
7.9515967700000001,800
7.9543133799999994,823
7.9570299899999997,823
7.959746599999999,849
7.9624632099999992,804
7.9651798199999995,835
7.9678964299999997,803
7.9706130399999999,804
7.9733296500000002,780
7.9760462599999995,835
7.9787628699999997,843
7.9814794799999991,842
7.9841960899999993,817
7.9869126999999995,813
7.9896293099999998,771
7.99234592,828
7.9950625300000002,764
7.9977791399999996,835
8.0004957499999989,769
8.0032123599999991,826
8.0059289699999994,797
8.0086455799999996,815
8.0113621899999998,852
8.0140788000000001,746
8.0167954100000003,791
8.0195120200000005,808
8.022228629999999,824
8.0249452399999992,888
8.0276618499999994,809
8.0303784599999997,824
8.0330950699999999,826
